avg_ot_pay,total_ot_pay,headcount,title
1249.7572711571675,723609.46,579,SCHOOL FOOD SERVICE MANAGER
1100.2044700460829,238744.37,217,SANITATION ENFORCEMENT AGENT
1092.3937589158345,1531536.05,1402,LIFEGUARD
957.4793087557604,831092.04,868,SCHOOL LUNCH AIDE
907.8457495107633,2319545.89,2555,CITY SEASONAL AIDE
567.7860752688173,105608.21,186,PLAYGROUND ASSOCIATE
465.7999301615015,1067147.64,2291,JOB TRAINING PARTICIPANT
397.13916449086156,152104.3,383,COLLEGE ASSISTANT
200.62095238095236,29491.28,147,EMERGENCY MEDICAL SPECIALIST TRAINEE
43.14604166666666,6213.03,144,SCHOOL CROSSING GUARD
