avg_total_compensation,avg_base_salary,avg_ot_paid,payroll_record_count,title
118692.60302469137,121127.79012345678,4552.194135802469,162,ADMINISTRATIVE QUALITY ASSURANCE SPECIALIST
118482.8742857143,105149.61904761905,20939.872476190474,105,ADMINISTRATIVE DIRECTOR OF RESIDENTIAL CHILD CARE
118266.50616598275,94572.06459600962,34424.85916513372,14134,CORRECTION OFFICER
118056.2346153846,83031.8875739645,36806.68147928994,169,ASSOCIATE YOUTH DEVELOPMENT SPECIALIST
117683.57484444445,121114.71111111112,5690.885155555555,225,ADMINISTRATIVE PARKS & RECREATION MANAGER
117645.78633802816,136821.53521126762,784.417042253521,142,ADMINISTRATIVE SUPERVISOR OF BUILDING MAINTENANCE
117538.93699300698,122077.46853146853,4039.5013986013983,143,ADMIN CONSTRUCTION PROJECT MANAGER
117351.90004524887,147938.66063348416,2454.8219909502263,221,IT SECURITY SPECIALIST
117160.96799418605,129215.91279069768,0.0,344,ADULT EDUCATION TEACHER
116423.36270916334,127460.50199203187,1097.9781673306773,251,ADMINISTRATIVE MANAGEMENT AUDITOR
113495.01210084034,116474.0756302521,1462.3227731092438,119,ADMINISTRATIVE INVESTIGATOR
112375.73705583756,133077.62436548225,1840.423807106599,197,STRATEGIC INITIATIVE SPECIALIST
112186.4102970297,76311.97029702971,26129.465346534653,101,SUPERVISOR OF TRAFFIC DEVICE MAINTAINERS LEVEL 1 ONLY
112051.83951612902,113858.10215053764,2996.3143548387097,186,LANDSCAPE ARCHITECT
111881.25658730158,67363.11111111111,47150.27857142857,126,MARINE OILER
111455.92060119122,83636.26833174384,18772.068760549188,55573,POLICE OFFICER
111258.07660933661,120527.75675675676,1369.4218673218672,407,ADMINISTRATIVE ACCOUNTANT
110166.398515625,121298.015625,0.0,128,DISTRICT MANAGER
109256.69047619047,94254.11111111111,2982.718148148148,189,REPORTER/ STENOGRAPHER
108064.29097087379,111947.38834951456,2428.554368932039,103,ADMINISTRATIVE HORTICULTURIST
108052.1271961102,125429.71961102106,3286.743824959481,617,IT PROJECT SPECIALIST
107734.27207207207,97109.86036036036,17381.153783783786,222,ADMIN JOB OPPORTUNITY SPEC NM
106542.3702487906,120488.88942639944,0.0,1447,TEACHER ASSIGNED A
105786.80774015748,106279.37874015748,0.0,1270,ASSOCIATE PROFESSOR
105611.50320210702,114359.1470751317,0.0,7214,GUIDANCE COUNSELOR
105463.48209891435,114607.23884197828,0.0,3316,SCHOOL PSYCHOLGIST
105193.49529914529,126482.50427350428,394.6846153846154,117,ADMINISTRATIVE SPACE ANALYST
105187.73351706036,103315.93700787402,9000.297086614173,381,HOUSING MANAGER
105001.34875259876,98070.13721413721,17521.78945945946,481,RESIDENT BUILDING SUPERINTENDENT
104700.68,77839.53066666667,11024.079333333333,375,ENVIRONMENTAL POLICE OFFICER
