total_regular_gross,total_ot_paid,total_other_pay,total_compensation,headcount,fiscal_year
29238380715.24,3059225458.73,3383875624.86,35681481798.83,473258,2024
29236263564.45,2922362091.89,2437173197.01,34595798853.35,466362,2025
