total_compensation,total_regular_gross,total_ot_paid,total_other_pay,headcount,avg_compensation_per_employee,agency
423742.88,418657.32999999996,0.0,5085.55,3,141247.62666666668,MANHATTAN COMMUNITY BOARD #2
422599.43,419125.05,0.0,3474.38,4,105649.8575,BROOKLYN COMMUNITY BOARD #4
417793.89,414719.64,0.0,3074.25,3,139264.63,BROOKLYN COMMUNITY BOARD #5
414967.63,408000.17,0.0,6967.46,5,82993.526,BROOKLYN COMMUNITY BOARD #17
408584.8,402443.82,0.0,6140.98,3,136194.93333333332,QUEENS COMMUNITY BOARD #9
403240.02,390529.51,0.0,12710.51,5,80648.004,BRONX COMMUNITY BOARD #7
400951.96,396057.44,0.0,4894.52,8,50118.995,BROOKLYN COMMUNITY BOARD #1
399479.76,365585.31,0.0,33894.45,5,79895.952,BRONX COMMUNITY BOARD #8
397888.97,392102.11,0.0,5786.860000000001,3,132629.65666666665,STATEN ISLAND COMMUNITY BD #2
393089.6,389875.1,0.0,3214.5,2,196544.8,STATEN ISLAND COMMUNITY BD #1
387051.83,384008.4,0.0,3043.43,4,96762.9575,QUEENS COMMUNITY BOARD #1
385573.88,379234.58999999997,0.0,6339.29,4,96393.47,MANHATTAN COMMUNITY BOARD #9
381308.33,377696.46,0.0,3611.87,5,76261.666,BROOKLYN COMMUNITY BOARD #2
364122.08999999997,330989.79,0.0,33132.3,5,72824.41799999999,MANHATTAN COMMUNITY BOARD #10
347115.82,342338.82999999996,0.0,4776.99,2,173557.91,BRONX COMMUNITY BOARD #3
343020.61,336465.13,0.0,6555.48,2,171510.305,BRONX COMMUNITY BOARD #5
338881.55,298295.03,0.0,40586.520000000004,5,67776.31,QUEENS COMMUNITY BOARD #14
318995.22,200124.33,0.0,118870.89,4,79748.805,BROOKLYN COMMUNITY BOARD #16
302077.01,297282.51,0.0,4794.5,3,100692.33666666667,BROOKLYN COMMUNITY BOARD #3
299596.29000000004,296596.29000000004,0.0,3000.0,2,149798.14500000002,QUEENS COMMUNITY BOARD #13
274171.1,271171.1,0.0,3000.0,2,137085.55,QUEENS COMMUNITY BOARD #10
215190.02,211945.91,0.0,3244.11,3,71730.00666666667,BROOKLYN COMMUNITY BOARD #15
44964.57,16603.350000000002,0.0,28361.22,5,8992.914,DISTRICTING COMMISSION
